Quarter,DAL,AAL,ALK,JBLU,V,PYPL,MA
Q1E,10410,10600,1880,1870,5410,4130,3850
Q1A,10470,10580,1880,1870,5510,4130,3890
Q2E,12500,11960,2280,2100,5470,4320,4080
Q2A,12540,11960,2290,2110,5490,4310,4110
Q3E,12610,11950,2380,2070,5700,4350,4420
Q3A,12550,11910,2390,2090,5840,4380,4470
Q4E,11340,11310,2220,2030,6080,4940,4400
Q4A,11440,11310,2230,2030,6140,4960,4410
Q12E,9000,8820,1660,1640,6070,4720,3980
Q12A,8590,8520,1640,1590,6050,4620,4010
